name,link,category,reviews amount,total score,important reviews amount,important reviews part,average stars count,detail score,deep score,material quality score,problems quality score,coach skills score,practice experience score,feedback score,positive score,negative score,positive reviews part,negative reviews part,important positive reviews part,important negative reviews part,reviews amount * total score
"""Поколение Python"": курс для продвинутых",https://stepik.org/course/68343,Новые курсы,5529,69.18635970055352,2463,0.44546934346174716,5.0,0.4451086672602444,0.4317300307535139,0.23296883176311642,0.21875760470940062,0.17798290361282612,0.3557941407250672,0.06449461517756203,0.8440846613609395,0.15642975540695245,0.8574787484174353,0.14252125158256465,0.8790093382054405,0.12099066179455949,382531.38278436044
Основы статистики,https://stepik.org/course/76,Статистика и анализ данных,5463,63.89202655581979,2785,0.509793153944719,5.0,0.508600888462918,0.4273128879424084,0.26146277497296816,0.0728504116697515,0.2149249704769472,0.3339111040848388,0.02920952062011157,0.8496200011240763,0.15067027259674984,0.8704008786381109,0.12959912136188906,0.8689407540394973,0.1310592459605027,349042.1410744435
Интерактивный тренажер по SQL,https://stepik.org/course/63054,Информатика,4083,69.16614730307906,2127,0.520940484937546,5.0,0.521318846156262,0.5250470991257565,0.24587485667991454,0.2347333834153658,0.17499311287456965,0.4822369752439792,0.1004736917243885,0.855603986119732,0.14478138954348554,0.8679892236100906,0.13201077638990938,0.8754113775270334,0.12458862247296662,282405.3794384718
Безопасность в интернете,https://stepik.org/course/191,Информатика,4644,60.65155660194622,1505,0.32407407407407407,5.0,0.32484656997059885,0.27467309781469645,0.15860279756545367,0.01106251699508343,0.08657416661279736,0.3018102188115485,0.012619635640740381,0.7947027366618409,0.20592622309610326,0.8115848406546081,0.1884151593453919,0.8385382059800665,0.16146179401993355,281665.82885943825
Веб-разработка для начинающих: HTML и CSS,https://stepik.org/course/38218,Информатика,4426,58.59420518466186,1951,0.44080433800271124,5.0,0.43903139697632604,0.42725374490471435,0.1653934469898136,0.07000110036381108,0.07706339645458006,0.36689521374498263,0.025088253824301156,0.7288684914180217,0.2717449342875316,0.7408495255309535,0.25915047446904654,0.7134802665299846,0.28651973347001536,259337.9521473134
Первая помощь при остановке сердца (базовая реанимация),https://stepik.org/course/13222,Современная грамотность,4034,61.20228711780838,1239,0.3071393158155677,5.0,0.3060516943266873,0.20768835487650605,0.16165495976034944,0.010477231811680709,0.0348564721389769,0.2672357398655822,0.013652007976600105,0.8450508478579439,0.15559426165831378,0.866137828458106,0.1338621715418939,0.9152542372881356,0.0847457627118644,246890.026233239
Введение в программирование (C++),https://stepik.org/course/363,Информатика,2908,62.13065847084418,1298,0.44635488308115545,5.0,0.44618616810381617,0.46785325215730056,0.15890445326107525,0.2676424117226056,0.1200132415348847,0.3500312847524647,0.0385828295925662,0.7568856833178865,0.2435113804749062,0.7640990371389271,0.2359009628610729,0.7627118644067796,0.23728813559322035,180675.95483321487
Основы HTML и CSS,https://stepik.org/course/52164,Программирование для начинающих,2690,61.65771295554398,1331,0.49479553903345724,5.0,0.4939837922339687,0.47076980215675834,0.20511655812408958,0.07417597935523546,0.07157621096139101,0.42248274363102345,0.021490465996492302,0.7943819952298641,0.20602898942332604,0.8185873605947955,0.18141263940520447,0.816679188580015,0.18332081141998496,165859.2478504133
Введение в Linux,https://stepik.org/course/73,Информатика,2705,58.1304888561566,1261,0.46617375231053604,5.0,0.46797948395284383,0.49781636211409125,0.12518014061767715,0.11866002752424497,0.08719691023797069,0.39684759118268387,0.029116267363735893,0.7446154657302876,0.25581761314783263,0.7700554528650647,0.2299445471349353,0.6962727993655828,0.3037272006344171,157242.97235590362
Цифровые инструменты и сервисы для учителя,https://stepik.org/course/56395,Прокачать навыки,2345,63.568168889839306,697,0.297228144989339,5.0,0.30073101778314804,0.3103872057029988,0.1648634676020655,0.014000543723068404,0.034361304214674364,0.2612830763061955,0.01431365227852396,0.8592530552784342,0.14160613440223405,0.8976545842217484,0.1023454157782516,0.9124820659971306,0.08751793400286945,149067.35604667317
